,sample id,source,batch number,batch date,composition,post processing id,rep,total reps,reaction,current density,voltage,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid
0,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,150.0,0.1431695217837197,2.010840590127241,4.023937435048473,0.0019417289820534,0.000811135558992,2.012906284518439,2.012906282691056
1,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,100.0,0.0948717456250603,3.383709096476496,3.5671723507815742,0.001385214416245,0.0,2.092856809446236,2.092856809446238
2,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,100.0,3.158541184,31.079118626666663,55.95039293,0.012292901,0.0,87.04394638000001,12.95605362
3,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,50.0,0.1036736898659702,6.321417240388412,4.208895642578382,0.0073298659660846,0.0,2.162559051897787,2.162559051897792
4,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,50.0,2.8610540610000004,42.77302308333333,42.51473477333334,0.0124763776666666,0.0,85.30122281333333,14.698777186666668
5,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,200.0,3.476810013333333,24.73016803,65.09823182666668,0.0134854963333333,0.003161089,89.84702360666667,10.152976393
6,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,150.0,3.321681319,29.148688333333336,62.025212833333335,0.0117424726666666,0.0004683093333333,91.18808911666667,8.811910885333333
7,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,HER,50.0,0.1205861416168261,0.0,0.0,0.0,0.0,0.0,0.0
8,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,HER,50.0,2.465062763333333,,,,,,
9,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,300.0,3.622443467666667,56.57745506333333,23.0099869,0.0218336606666666,0.0123165396666666,79.62373409333333,20.376265906666667
10,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,300.0,0.13465435328166,7.541024962284696,2.8444457719148994,0.0039734341301933,0.0036211559070081,5.012523772578567,5.012523772578566
11,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,200.0,0.1512060221681732,1.5835594965488793,4.856598915128422,0.0027105456325231,0.0018730918472672,6.011157658799504,6.011157660222052
12,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,300.0,3.546526605,61.60915692,20.26031434,0.021283232,0.012925342,81.90615129,18.09384871
13,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,200.0,3.308212718,23.04756325,60.06630648,0.01568721,0.001685914,83.13371431,16.86628569
14,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,150.0,3.161059159,30.51790161,59.28781925,0.013210282,0.0,89.82123784,10.17876216
15,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,HER,50.0,2.329372471,,,,,,
16,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,100.0,3.052599973,34.72640147,53.64194499,0.012109425,0.0,88.38292734,11.61707266
